id	predicted score	array	query1	query2	query1_score	query2_score	array_score	query1_array_score	query2_array_score	query1_query2_score
0	1.0522819200009108	YDR210W	YOL031C	YPR030W	1.0168	0.998	1.0392	1.0270000000000001	1.0242	0.8539
2206	1.0520724197775126	YDR141C	YLR013W	YML029W	1.0155	0.9947	1.041	1.0214	1.0249	0.8540000000000001
2207	1.0519920446425677	YGL117W	YJL203W	YBR208C	1.0143	0.9975	1.0413	1.0216	1.0133	0.8568
2208	1.0519720946699382	YFL010C	YER147C	YHR146W	1.0112	0.9965	1.0395	1.0241	1.0239	0.8552
2209	1.051947119638324	YGL248W	YDR196C	YDL130W-A	1.014	1.0005	1.0362	1.0212	1.0164	0.8579
2210	1.0519379700869322	YDR141C	YMR247C	YPR030W	1.0155	0.9943	1.0392	1.0133	1.0245	0.8599
2211	1.0518253192454576	YHR104W	YIL045W	YCR020C	1.0152	0.9975	1.0395	1.0265	1.0372	0.8563
2212	1.0518085198551417	YLR297W	YDR294C	YFR032C	1.0152	0.998	1.0373	1.0163	1.0174	0.8591
2213	1.0517909453809262	YKL078W	YER147C	YHR146W	1.0125	0.9965	1.0395	1.0034	1.0239	0.8581
2214	1.051740969851613	YJL127C-B	YKR064W	YGR146C	1.0075	0.9963	1.0375	1.0209	1.024	0.8556
2215	1.0517377702891826	YDR141C	YIR007W	YJL016W	1.0155	0.9990000000000001	1.0408	0.9990000000000001	1.0270000000000001	0.856
2216	1.0516942949444057	YAR042W	YDR196C	YLR423C	1.012	1.0005	1.0377	1.0142	1.0306	0.8601
2217	1.0516292202472688	YDR518W	YML112W	YMR162C	1.0105	0.9963	1.0427	1.0044	1.0107	0.861
2218	1.0515987946540115	YGR256W	YJL203W	YOR237W	1.0103	0.9975	1.047	1.0218	1.0203	0.8526
2219	1.0515964452028277	YGR044C	YDR196C	YDL130W-A	1.014	1.0005	1.0362	1.0034	1.0164	0.8532
2220	1.0515890451967718	YDR141C	YMR247C	YJL016W	1.0155	0.9943	1.0408	0.9990000000000001	1.0301	0.8599
2221	1.0515835698395968	YOL083W	YJL203W	YBR208C	1.0087	0.9975	1.0413	1.0139	1.0133	0.8540000000000001
2222	1.0515828948169947	YDR019C	YJL203W	YOR237W	1.0143	0.9975	1.047	1.0271	1.0203	0.8588
2223	1.0515696702599526	YJL091C	YBR125C	YML016C	1.0155	0.9958	1.0368	1.0077	1.0267	0.8541
2224	1.0515519952476025	YMR094W	YOR385W	YIR018W	1.0145	0.9957	1.0452	1.0005	1.0194	0.8573
2225	1.051550719723105	YJL127C-B	YKR064W	YAL030W	1.0075	0.9963	1.0405	1.0196	1.0301	0.8556
2226	1.051548344537616	YDR141C	YLR013W	YPR030W	1.0155	0.9947	1.0392	1.0133	1.0362	0.8540000000000001
2227	1.0515441953539848	YJL091C	YHR202W	YML029W	1.0155	0.9982	1.041	0.9942	1.0267	0.8568
2228	1.0515419951677325	YJL091C	YDR452W	YML016C	1.0155	0.9940000000000001	1.0368	1.0077	1.0117	0.8558
2229	1.051519444450736	YMR119W	YJL203W	YBR208C	1.006	0.9975	1.0413	1.0233	1.0133	0.8523
2230	1.0515022697746752	YDR141C	YIR007W	YGL224C	1.0155	0.9990000000000001	1.0415	0.9995	1.0356	0.856
2231	1.051501695305109	YMR094W	YOR385W	YBR201W	1.0145	0.9957	1.038	0.9935	1.0104	0.8573
2232	1.0515002701878546	YMR094W	YBR218C	YGL224C	1.0145	0.9948	1.0415	0.9942	1.0146	0.8562
2233	1.0514983702898024	YJL091C	YGR206W	YML029W	1.0155	0.9995	1.041	0.9942	1.0108	0.8556
2234	1.0514813950955868	YJL091C	YGR121C	YML016C	1.0155	0.9938	1.0368	1.0077	1.0163	0.853
2235	1.0514793202281	YMR094W	YOR385W	YHR092C	1.0145	0.9957	1.0405	0.9959	1.0288	0.8573
2236	1.0514742201864722	YJL091C	YLR164W	YML029W	1.0155	0.9977	1.041	0.9942	1.0169	0.8537
2237	1.0514602440446617	YJL127C-B	YKR064W	YFR032C	1.0075	0.9963	1.0373	1.0226	1.0417	0.8556
2238	1.0514597698152064	YDR141C	YLR013W	YJL016W	1.0155	0.9947	1.0408	0.9990000000000001	1.035	0.8540000000000001
2239	1.0514581693261862	YDR141C	YIR007W	YPR030W	1.0155	0.9990000000000001	1.0392	1.0133	1.0452	0.856
2240	1.0514417451620102	YJL091C	YLR030W	YML016C	1.0155	0.9968	1.0368	1.0077	1.0283	0.8547
2241	1.0514399951398372	YJL091C	YLR164W	YML016C	1.0155	0.9977	1.0368	1.0077	1.021	0.8537
2242	1.051422320216894	YKL188C	YDR196C	YDL130W-A	1.0192	1.0005	1.0362	0.9896	1.0164	0.8545
2243	1.0514216951429842	YJL091C	YDR247W	YML016C	1.0155	0.9940000000000001	1.0368	1.0077	1.0211	0.8571
2244	1.051420645326376	YPL058C	YER147C	YLL010C	1.0190000000000001	0.9965	1.043	0.9892	1.0189	0.8607
2245	1.0514042452275751	YDR141C	YNL098C	YAL030W	1.0155	0.998	1.0405	0.9940000000000001	1.0294	0.8590000000000001
2246	1.0513825951516629	YJL127C-B	YKR064W	YIR042C	1.0075	0.9963	1.0357	1.0128	1.0265	0.8556
2247	1.051366144746542	YDR141C	YLR013W	YGL224C	1.0155	0.9947	1.0415	0.9995	1.0404	0.8540000000000001
2248	1.0513646200299265	YIL101C	YLL019C	YBR208C	1.0065	0.9965	1.0413	1.0071	1.0145	0.855
2249	1.05136231957376	YBR290W	YDR196C	YLR423C	1.0062	1.0005	1.0377	1.0256	1.0306	0.853
2250	1.051345519140363	YJL127C-B	YKR064W	YCR020C	1.0075	0.9963	1.0395	1.0257	1.0374	0.8556
2251	1.0513442699313162	YMR094W	YBR218C	YOR215C	1.0145	0.9948	1.0445	1.0063	1.0321	0.8562
2252	1.0513243703842163	YBR211C	YOR171C	YMR303C	1.0165	0.9995	1.0382	0.9856	1.015	0.8544
2253	1.0513200701773169	YMR094W	YBR218C	YCL033C	1.0145	0.9948	1.057	1.0101	1.0275	0.8562
2254	1.0513016198575496	YLR297W	YDR294C	YIR042C	1.0152	0.998	1.0357	1.0012	1.0333	0.8591
2255	1.0512983694523572	YJL127C-B	YKR064W	YCR107W	1.0075	0.9963	1.0390000000000001	1.0137	1.033	0.8556
2256	1.0512918954491617	YGR274C	YHL047C	YOR237W	1.016	1.0002	1.047	0.9962	1.0245	0.8608
2257	1.0512918954491617	YGR274C	YBR138C	YOR237W	1.016	0.996	1.047	0.9962	1.024	0.8567
2258	1.0512905688434842	YDR141C	YGR121C	YML029W	1.0155	0.9938	1.041	1.0214	1.0482	0.857
2259	1.0512859700024126	YJL127C-B	YKR064W	YMR206W	1.0075	0.9963	1.043	1.0095	1.0177	0.8556
2260	1.0512752706110478	YDR518W	YML112W	YCR061W	1.0105	0.9963	1.0415	0.9845	1.0248	0.861
2261	1.0512665704190731	YBR211C	YHR057C	YMR303C	1.0165	0.996	1.0382	0.9856	1.0172	0.8577
2262	1.05126521974802	YMR094W	YOR385W	YOR215C	1.0145	0.9957	1.0445	1.0063	1.0393	0.8573
2263	1.0512634954750542	YMR094W	YOR385W	YOR247W	1.0145	0.9957	1.0495	0.9961	1.0239	0.8573
2264	1.0512571446001528	YDR141C	YMR247C	YGL224C	1.0155	0.9943	1.0415	0.9995	1.0451	0.8599
2265	1.0512568204402923	YDR518W	YML112W	YGL224C	1.0105	0.9963	1.0415	0.9856	1.0138	0.861
2266	1.0512394948899746	YDR141C	YMR247C	YAL030W	1.0155	0.9943	1.0405	0.9940000000000001	1.0327	0.8599
2267	1.051231945335865	YJL127C-B	YKR064W	YLR423C	1.0075	0.9963	1.0377	0.9959	1.0241	0.8556
2268	1.0512266696542505	YLR083C	YER147C	YCR019W	1.0095	0.9965	1.0535	1.0215	1.0118	0.8544
2269	1.051224469780922	YMR094W	YBR218C	YNL020C	1.0145	0.9948	1.0435	0.9947	1.0356	0.8562
2270	1.0512111944705251	YJL127C-B	YKR064W	YCL027W	1.0075	0.9963	1.0585	1.0237	1.0175	0.8556
2271	1.0512110702693462	YDR422C	YJL203W	YOR237W	1.0128	0.9975	1.047	1.0015	1.0203	0.8593
2272	1.0512004953324794	YMR094W	YBR218C	YCR019W	1.0145	0.9948	1.0535	0.9908	1.0134	0.8562
2273	1.0511999703347683	YGR274C	YML070W	YOR237W	1.016	0.9962	1.047	0.9962	1.0198	0.8595
2274	1.0511999703347683	YGR274C	YIR038C	YOR237W	1.016	0.9962	1.047	0.9962	1.0191	0.8577
2275	1.0511871194988491	YBR197C	YER147C	YCL002C	1.016	0.9965	1.0495	1.0236	1.0096	0.8588
2276	1.0511813447773457	YJL091C	YLR030W	YML029W	1.0155	0.9968	1.041	0.9942	1.0398	0.8547
2277	1.0511813447773457	YDR141C	YIR007W	YAL030W	1.0155	0.9990000000000001	1.0405	0.9940000000000001	1.0403	0.856
2278	1.0511729444414375	YIL101C	YLL019C	YPR030W	1.0065	0.9965	1.0392	1.015	1.0425	0.855
2279	1.0511707951426503	YMR094W	YOR385W	YDR266C	1.0145	0.9957	1.042	0.9885	1.0096	0.8573
2280	1.0511703954935072	YDR141C	YLR013W	YCR107W	1.0155	0.9947	1.0390000000000001	0.9854	1.0192	0.8540000000000001
2281	1.0511673949807885	YPR015C	YJL203W	YBR208C	1.0157	0.9975	1.0413	1.0277	1.0133	0.8554
